"","enrolled_at","unenrolled_at","fully_participated_at","purchased_statement_at","gender","country","age_range","highest_education_level","employment_status","employment_area","detected_country"
"7945",1,0,0,0,0,"VN","18-25","university_masters","full_time_student","teaching_and_education","VN"
"7947",1,0,0,0,0,"GB","26-35","university_masters","working_full_time","business_consulting_and_management","IT"
"7959",1,0,0,0,0,"IT","18-25","secondary","looking_for_work","hospitality_tourism_and_sport","IT"
"7965",1,0,1,0,0,"GB","36-45","secondary","looking_for_work","retail_and_sales","GB"
"7968",1,0,0,0,0,"AU","56-65","tertiary","working_full_time","law","AU"
"7970",1,0,0,0,0,"AU","46-55","secondary","working_part_time","health_and_social_care","AU"
"7988",1,0,0,0,1,"BD","18-25","secondary","working_part_time","teaching_and_education","BD"
"7989",1,0,0,0,1,"JP","56-65","university_masters","working_full_time","engineering_and_manufacturing","JP"
"8012",1,1,0,0,0,"AU",">65","university_masters","retired","charities_and_voluntary_work","AU"
"8020",1,0,0,0,0,"GB","26-35","university_degree","not_working","hospitality_tourism_and_sport","--"
"8024",1,0,0,0,0,"FI","46-55","university_degree","working_full_time","hospitality_tourism_and_sport","FI"
"8028",1,0,1,0,1,"GB",">65","university_masters","self_employed","it_and_information_services","GB"
"8037",1,0,0,0,1,"AU","46-55","university_masters","looking_for_work","public_sector","AU"
"8045",1,0,0,0,0,"ES","36-45","university_doctorate","looking_for_work","teaching_and_education","ES"
"8049",1,0,1,0,0,"QA","26-35","university_degree","working_part_time","accountancy_banking_and_finance","ID"
"8053",1,0,0,0,0,"CO","36-45","tertiary","working_full_time","environment_and_agriculture","CO"
"8059",1,0,0,0,0,"AU",">65","university_masters","retired","charities_and_voluntary_work","AU"
"8063",1,0,0,0,1,"PK","26-35","university_degree","working_full_time","teaching_and_education","OM"
"8082",1,0,1,0,1,"AU","56-65","university_masters","unemployed","it_and_information_services","AU"
"8087",1,0,1,0,0,"GB","46-55","university_degree","working_full_time","transport_and_logistics","GB"
"8090",1,0,0,0,0,"TR","18-25","university_degree","full_time_student","public_sector","TR"
"8092",1,0,0,0,1,"GB","56-65","university_degree","working_full_time","it_and_information_services","GB"
"8105",1,0,1,0,0,"NG","26-35","university_degree","working_part_time","it_and_information_services","NG"
"8106",1,0,0,0,1,"GB","56-65","tertiary","retired","health_and_social_care","GB"
"8113",1,1,1,0,1,"GB",">65","university_degree","self_employed","charities_and_voluntary_work","GB"
"8124",1,0,0,0,1,"SA","36-45","university_degree","working_full_time","health_and_social_care","SA"
"8129",1,1,0,0,1,"GB","18-25","secondary","full_time_student","it_and_information_services","GB"
"8136",1,0,1,1,1,"GB","46-55","professional","working_full_time","armed_forces_and_emergency_services","GB"
"8146",1,0,0,0,1,"SE","36-45","university_degree","working_full_time","it_and_information_services","SE"
"8157",1,0,0,0,1,"GB","56-65","university_masters","working_full_time","teaching_and_education","GB"
"8170",1,0,1,0,0,"GB","46-55","university_degree","self_employed","creative_arts_and_culture","GB"
"8182",1,0,1,0,1,"MX","26-35","university_masters","working_full_time","it_and_information_services","MX"
"8195",1,1,1,0,1,"GB","56-65","university_degree","working_full_time","energy_and_utilities","GB"
"8228",1,1,0,0,1,"IN","26-35","tertiary","working_full_time","retail_and_sales","IN"
"8235",1,0,0,0,1,"GB","56-65","tertiary","self_employed","engineering_and_manufacturing","GB"
"8250",1,0,1,0,0,"GB","56-65","professional","working_part_time","health_and_social_care","GB"
"8256",1,0,0,0,0,"NL","46-55","university_masters","looking_for_work","teaching_and_education","NL"
"8258",1,1,0,0,1,"IN","26-35","professional","working_full_time","engineering_and_manufacturing","IN"
"8270",1,0,0,0,0,"GB","56-65","university_masters","working_part_time","teaching_and_education","GB"
"8282",1,0,0,0,0,"GB","46-55","tertiary","working_full_time","law","GB"
"8287",1,0,0,0,1,"US","26-35","secondary","working_full_time","hospitality_tourism_and_sport","US"
"8293",1,1,0,0,0,"GB","26-35","tertiary","working_full_time","public_sector","GB"
"8298",1,0,1,0,1,"GB",">65","university_degree","retired","armed_forces_and_emergency_services","GB"
"8315",1,0,1,1,1,"KE","46-55","university_masters","working_full_time","teaching_and_education","KE"
"8317",1,0,1,1,0,"AU",">65","university_masters","working_full_time","teaching_and_education","AU"
"8324",1,0,1,0,1,"ZA","26-35","secondary","self_employed","engineering_and_manufacturing","GB"
"8326",1,0,0,0,1,"IN","18-25","secondary","not_working","engineering_and_manufacturing","IN"
"8334",1,0,1,0,1,"AU","46-55","university_degree","self_employed","property_and_construction","AU"
"8338",1,0,0,0,0,"ZA",">65","university_degree","retired","creative_arts_and_culture","ZA"
"8366",1,0,0,0,0,"GB","56-65","university_masters","retired","health_and_social_care","GB"
"8371",1,0,0,0,1,"NG","26-35","tertiary","self_employed","business_consulting_and_management","NG"
"8382",1,0,0,0,0,"DE","36-45","university_degree","working_full_time","teaching_and_education","DE"
"8384",1,0,1,0,1,"GB","46-55","secondary","looking_for_work","it_and_information_services","GB"
"8386",1,0,0,0,1,"ZW","26-35","university_degree","working_full_time","marketing_advertising_and_pr","ZW"
"8387",1,0,0,0,0,"GB",">65","professional","working_part_time","health_and_social_care","GB"
"8394",1,0,0,0,0,"IT","26-35","university_masters","working_full_time","marketing_advertising_and_pr","FR"
"8416",1,0,1,1,1,"IT","46-55","university_masters","working_full_time","it_and_information_services","IT"
"8442",1,0,0,0,0,"GB","26-35","university_degree","looking_for_work","it_and_information_services","GB"
"8443",1,0,1,0,1,"GB","46-55","professional","not_working","it_and_information_services","GB"
"8453",1,0,0,0,1,"PK","18-25","secondary","full_time_student","it_and_information_services","PK"
"8454",1,0,1,0,0,"CA","56-65","university_degree","working_full_time","energy_and_utilities","CA"
"8456",1,0,0,0,0,"GB","26-35","university_masters","working_full_time","health_and_social_care","GB"
"8464",1,0,0,0,1,"IT","26-35","university_masters","working_full_time","business_consulting_and_management","IT"
"8467",1,0,0,0,0,"GB","56-65","tertiary","working_full_time","engineering_and_manufacturing","--"
"8468",1,0,0,0,0,"GB","56-65","university_degree","working_part_time","health_and_social_care","GB"
"8469",1,0,0,0,1,"BR","46-55","university_degree","working_full_time","engineering_and_manufacturing","BR"
"8485",1,1,0,0,1,"AF","18-25","tertiary","working_full_time","it_and_information_services","AF"
"8507",1,0,0,0,1,"NG","36-45","university_degree","working_full_time","it_and_information_services","NG"
"8514",1,0,0,0,1,"BN","26-35","university_masters","working_full_time","teaching_and_education","BN"
"8522",1,0,0,0,0,"GB","36-45","university_degree","unemployed","it_and_information_services","GB"
"8536",1,0,0,0,1,"GB","36-45","secondary","looking_for_work","transport_and_logistics","GB"
"8546",1,0,0,0,1,"GB","36-45","university_degree","working_full_time","it_and_information_services","GB"
"8551",1,0,1,0,1,"IT","56-65","university_degree","working_full_time","it_and_information_services","IT"
"8560",1,0,0,0,0,"US","46-55","university_masters","looking_for_work","teaching_and_education","US"
"8564",1,0,0,0,1,"IE","46-55","less_than_secondary","unemployed","charities_and_voluntary_work","IE"
"8573",1,1,0,0,0,"UA","26-35","university_masters","working_full_time","law","UA"
"8578",1,0,1,0,1,"GB","26-35","professional","working_full_time","retail_and_sales","GB"
"8580",1,0,1,0,0,"PH","18-25","university_degree","working_full_time","teaching_and_education","PH"
"8583",1,0,0,0,1,"GH","26-35","university_degree","working_full_time","accountancy_banking_and_finance","GH"
"8585",1,0,0,0,1,"NG","26-35","university_degree","working_full_time","engineering_and_manufacturing","NG"
"8588",1,0,1,0,0,"UA","36-45","university_doctorate","working_full_time","teaching_and_education","UA"
"8591",1,0,0,0,1,"IN","18-25","secondary","full_time_student","business_consulting_and_management","IN"
"8600",1,1,0,0,0,"RU","36-45","university_degree","working_full_time","business_consulting_and_management","RU"
"8601",1,0,0,0,0,"US",">65","university_doctorate","retired","health_and_social_care","US"
"8608",1,0,0,0,1,"JP","36-45","university_degree","working_part_time","charities_and_voluntary_work","JP"
"8609",1,0,0,0,1,"BD","26-35","university_degree","working_full_time","accountancy_banking_and_finance","BD"
"8621",1,1,0,0,0,"GB","26-35","tertiary","working_full_time","it_and_information_services","GB"
"8627",1,0,1,0,1,"NL","36-45","secondary","working_full_time","it_and_information_services","NL"
"8630",1,0,1,0,1,"GB",">65","secondary","retired","property_and_construction","GB"
"8635",1,0,0,0,0,"ID","18-25","secondary","full_time_student","business_consulting_and_management","ID"
"8640",1,0,0,0,1,"US","26-35","secondary","working_part_time","hospitality_tourism_and_sport","US"
"8654",1,1,0,0,0,"CA",">65","university_doctorate","working_part_time","teaching_and_education","CA"
"8662",1,0,0,0,1,"GB","46-55","secondary","looking_for_work","charities_and_voluntary_work","GB"
"8663",1,0,1,0,1,"GB",">65","professional","retired","engineering_and_manufacturing","GB"
"8671",1,1,0,0,0,"GB","18-25","secondary","full_time_student","science_and_pharmaceuticals","GB"
